restaurant_id,restaurant,date,wk_id,total_reviews,avg_rating,display_rating,neighborhood,yelp_category,delivers,takeout,price,avail_7pm,avail_8pm
4,one-market-san-francisco,30oct2010,44,607,3.5749588,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,29oct2010,44,607,3.5749588,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,28oct2010,43,607,3.5749588,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,23oct2010,43,606,3.5726073,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,22oct2010,43,606,3.5726073,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,21oct2010,42,606,3.5726073,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,16oct2010,42,603,3.5688226,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,15oct2010,42,603,3.5688226,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,14oct2010,41,603,3.5688226,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,09oct2010,41,603,3.5688226,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,08oct2010,41,603,3.5688226,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,07oct2010,40,603,3.5688226,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,02oct2010,40,602,3.5677471,3.5,Financial District,American (Traditional),No,No,3,0,0
4,one-market-san-francisco,01oct2010,40,602,3.5677471,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,30sep2010,39,602,3.5677471,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,25sep2010,39,599,3.5642738,3.5,Financial District,American (Traditional),No,No,3,0,0
4,one-market-san-francisco,24sep2010,39,598,3.5635452,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,23sep2010,38,598,3.5635452,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,18sep2010,38,594,3.5619204,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,17sep2010,38,594,3.5619204,3.5,Financial District,American (Traditional),No,No,3,1,1
